"投票日","自治体","地点","地点緯度","地点経度","投票数","鼻水","せき","のど","発熱","0から6才：投票数","0から6才：鼻水","0から6才：せき","0から6才：のど","0から6才：発熱","7から12才：投票数","7から12才：鼻水","7から12才：せき","7から12才：のど","7から12才：発熱","13から18才：投票数","13から18才：鼻水","13から18才：せき","13から18才：のど","13から18才：発熱","19から64才：投票数","19から64才：鼻水","19から64才：せき","19から64才：のど","19から64才：発熱","65才以上：投票数","65才以上：鼻水","65才以上：せき","65才以上：のど","65才以上：発熱"
"20161228","千葉県千葉市","幕張西中学校周辺","35.6635690","140.0373480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","都賀中学校周辺","35.6310220","140.1231010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","千城台南中学校周辺","35.6186880","140.1907740","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","高洲第二中学校周辺","35.6325620","140.0717470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","みつわ台中学校周辺","35.6353070","140.1311900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","緑が丘中学校周辺","35.6643240","140.1112120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","花見川第二中学校周辺","35.6827650","140.0878110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","天戸中学校周辺","35.6814480","140.0871130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","若松中学校周辺","35.6357950","140.1698460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","高浜中学校周辺","35.6237680","140.0708870","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","幸町第二中学校周辺","35.6125790","140.0980570","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","山王中学校周辺","35.6530510","140.1426730","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","稲浜中学校周辺","35.6327810","140.0818050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","朝日ケ丘中学校周辺","35.6562610","140.0876760","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","貝塚中学校周辺","35.6240210","140.1534700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","越智中学校周辺","35.5335540","140.2412870","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","磯辺中学校周辺","35.6274710","140.0623720","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","泉谷中学校周辺","35.5546560","140.1711520","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","幕張本郷中学校周辺","35.6718860","140.0476300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","土気南中学校周辺","35.5244600","140.2614020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","打瀬中学校周辺","35.6367540","140.0438520","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","有吉中学校周辺","35.5610780","140.1700890","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","大椎中学校周辺","35.5171150","140.2695270","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","千葉県千葉市","おゆみ野南中学校周辺","35.5445490","140.1769970","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","神奈川県横須賀市","追浜地区","35.3182559","139.6317370","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","神奈川県横須賀市","田浦地区","35.3012447","139.6289750","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","神奈川県横須賀市","逸見地区","35.2802795","139.6527930","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","神奈川県横須賀市","本庁地区","35.2813502","139.6720470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","神奈川県横須賀市","衣笠地区","35.2561917","139.6662400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","神奈川県横須賀市","大津地区","35.2602892","139.6966000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","神奈川県横須賀市","浦賀地区","35.2473576","139.7143340","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","神奈川県横須賀市","久里浜地区","35.2266242","139.7058680","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","神奈川県横須賀市","北下浦地区","35.2049994","139.6793180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","神奈川県横須賀市","西地区","35.2218240","139.6258460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","静岡県浜松市","中区","34.7108130","137.7261180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","静岡県浜松市","東区","34.7413230","137.7917700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","静岡県浜松市","西区","34.6927050","137.6453160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","静岡県浜松市","南区","34.6673320","137.7522990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","静岡県浜松市","北区","34.8061940","137.6510240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","静岡県浜松市","浜北区","34.7933530","137.7899420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","静岡県浜松市","天竜区","34.8726510","137.8162660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","津市","34.7184160","136.5055190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","四日市市","34.9651210","136.6244540","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","伊勢市","34.4874810","136.7092700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","松阪市","34.5779520","136.5276120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","桑名市","35.0622270","136.6838050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","鈴鹿市","34.8818210","136.5842450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","名張市","34.6276680","136.1083320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","尾鷲市","34.0708100","136.1910650","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","亀山市","34.8557330","136.4516390","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","鳥羽市","34.4813100","136.8434390","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","熊野市","33.8888040","136.1005080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","いなべ市","35.1157570","136.5613450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","志摩市","34.3281270","136.8297350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","伊賀市","34.7685710","136.1299070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","木曽岬町","35.0760530","136.7315390","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","東員町","35.0742680","136.5836750","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","菰野町","35.0191910","136.5071600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","朝日町","35.0342240","136.6643880","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","川越町","35.0229400","136.6739090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","多気町","34.4961670","136.5461680","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","明和町","34.5476290","136.6240290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","大台町","34.3933440","136.4080360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","玉城町","34.4886980","136.6286680","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","度会町","34.4388090","136.6224960","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","大紀町","34.3583620","136.4160970","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","南伊勢町","34.3519180","136.7038770","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","紀北町","34.2114350","136.3372230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","御浜町","33.8144280","136.0487790","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","三重県","紀宝町","33.7338320","136.0097360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　小松","35.2549310","135.9736920","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　木戸","35.2064050","135.9210480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　和邇","35.1596730","135.9217830","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　小野","35.1419700","135.9222490","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　葛川","35.2467250","135.8666120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　伊香立","35.1421500","135.8727360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　真野","35.1315640","135.9125620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　真野北","35.1416450","135.9087750","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　堅田","35.1143130","135.9147540","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　仰木","35.1081750","135.8820500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　仰木の里","35.1091190","135.8941980","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　雄琴","35.0900670","135.8956440","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　坂本","35.0714820","135.8708700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　日吉台","35.0792090","135.8787200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161228","滋賀県大津市","大津市　下阪本","35.0623950","135.8762560","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
